"Age","L1 (Work 
Harder)","L2 (Must 
Improve)","L3 (Can do 
Better)","L4 (Good)","L5 (Very 
Good)","L6 (Athletic)","L7 (Sports 
Fit)"
"5","< 23 times to 
17 times","< 17 times to 
13 times","< 13 times to 
10 times","< 10 times to 
8 times","< 8 times to 
7 times","< 7 times to 
5 times","< 5 times"
"6","< 23 times to 
17 times","< 17 times to 
13 times","< 13 times to 
10 times","< 10 times to 
8 times","< 8 times to 
7 times","< 7 times to 
5 times","< 5 times"
"7","< 23 times to 
17 times","< 17 times to 
13 times","< 13 times to 
10 times","< 10 times to 
8 times","< 8 times to 
7 times","< 7 times to 
5 times","< 5 times"
"8","< 24 times to 
17 times","< 17 times to 
13 times","< 13 times to 
10 times","< 10 times to 
8 times","< 8 times to 
7 times","< 7 times to 
5 times","< 5 times"
