"Age","L1 (Work 
Harder)","L2 (Must 
Improve)","L3 (Can do 
Better)","L4 (Good)","L5 (Very 
Good)","L6 (Athletic)  L7 (Sports","Fit)"
"9","< 00 m 11 s 
100 ms to 00 
m 10 s 600 
ms","< 00 m 10 s 
600 ms to 00 
m 09 s 900 
ms","< 00 m 09 s 
900 ms to 00 
m 09 s 500 
ms","< 00 m 09 s 
500 ms to 00 
m 09 s 300 
ms","< 00 m 09 s 
300 ms to 00 
m 09 s 100 
ms","< 00 m 09 s 
100 ms to 00 
m 08 s 800 
ms","< 00 m 08 s 
800 ms"
"10","< 00 m 10 s","< 00 m 10 s","< 00 m 09 s","< 00 m 09 s","< 00 m 09 s","< 00 m 08 s","< 00 m 08 s"
