"Age","L1 (Work 
Harder)","L2 (Must 
Improve)","L3 (Can do 
Better)","L4 (Good)","L5 (Very 
Good)","L6 (Athletic)  L7 (Sports","Fit)"
"5","< 00 m 25 s 
250 ms to 00 
m 19 s 290 
ms","< 00 m 19 s 
290 ms to 00 
m 16 s 700 
ms","< 00 m 16 s 
700 ms to 00 
m 15 s 60 ms","< 00 m 15 s 
60 ms to 00 
m 14 s 340 
ms","< 00 m 14 s 
340 ms to 00 
m 13 s 600 
ms","< 00 m 13 s 
600 ms to 00 
m 12 s 720 
ms","< 00 m 12 s 
720 ms"
"6","< 00 m 21 s 
550 ms to 00 
m 18 s 190 
ms","< 00 m 18 s 
190 ms to 00 
m 16 s 310 
ms","< 00 m 16 s 
310 ms to 00 
m 14 s 970 
ms","< 00 m 14 s 
970 ms to 00 
m 14 s 330 
ms","< 00 m 14 s 
330 ms to 00 
m 13 s 650 
ms","< 00 m 13 s 
650 ms to 00 
m 12 s 800 
ms","< 00 m 12 s 
800 ms"
"7","< 00 m 19 s 
480 ms to 00 
m 16 s 680 
ms","< 00 m 16 s 
680 ms to 00 
m 15 s 70 ms","< 00 m 15 s 
70 ms to 00 
m 13 s 900 
ms","< 00 m 13 s 
900 ms to 00 
m 13 s 350 
ms","< 00 m 13 s 
350 ms to 00 
m 12 s 750 
ms","< 00 m 12 s 
750 ms to 00 
m 12 s 0 ms","< 00 m 12 s 0 
ms"
"8","< 00 m 17 s 
310 ms to 00 
m 15 s 510 
ms","< 00 m 15 s 
510 ms to 00 
m 14 s 100 
ms","< 00 m 14 s 
100 ms to 00 
m 13 s 70 ms","< 00 m 13 s 
70 ms to 00 
m 12 s 580 
ms","< 00 m 12 s 
580 ms to 00 
m 12 s 50 ms","< 00 m 12 s 
50 ms to 00 
m 11 s 370 
ms","< 00 m 11 s 
370 ms"
