"Age","L1 (Work 
Harder)","L2 (Must 
Improve)","L3 (Can do 
Better)","L4 (Good)","L5 (Very 
Good)","L6 (Athletic)","L7 (Sports 
Fit)"
"5","< 24 times to 
18 times","< 18 times to 
13 times","< 13 times to 
10 times","< 10 times to 
9 times","< 9 times to 
7 times","< 7 times to 
5 times","< 5 times"
"6","< 25 times to 
18 times","< 18 times to 
14 times","< 14 times to 
10 times","< 10 times to 
8 times","< 8 times to 
7 times","< 7 times to 
5 times","< 5 times"
"7","< 26 times to 
18 times","< 18 times to 
14 times","< 14 times to 
10 times","< 10 times to 
8 times","< 8 times to 
7 times","< 7 times to 
4 times","< 4 times"
"8","< 26 times to 
18 times","< 18 times to 
14 times","< 14 times to 
10 times","< 10 times to 
8 times","< 8 times to 
7 times","< 7 times to 
5 times","< 5 times"
